"Location","min_M","min_A","min_E","max_M","max_A","max_E","10_M","10_A","10_E","50_M","50_A","50_E","90_M","90_A","90_E"
"Sifor Area","66","65","61","82","86","82","72","88","76","71","75","70","66","68","63"
"Bells University Junction","63","66","69","78","89","92","77","84","80","73","74","75","69","69","72"
"Canaan Land","65","65","63","90","101","85","80","88","78","72","75","72","67","69","67"
"May And Baker Close","45","43","31","67","65","63","56","56","55","48","49","45","46","45","41"
"High Court Area","63","63","65","86","89","83","82","79","80","77","75","76","72","70","70"
"Nestle","68","64","66","88","82","97","80","78","80","75","74","74","72","68","69"
"Iyana-Iyesi Market","59","60","77","81","78","87","74","72","82","66","67","79","63","62","78"
"Iyana-Iyesi Junction","69","69","72","95","86","89","84","83","85","78","75","78","73","71","74"
"Oju-Ore Junction","75","71","71","105","93","87","90","85","83","81","76","78","77","73","74"
"Joju Junction","63","63","67","89","84","84","79","79","79","74","73","73","68","69","69"
"Joju Express Road","73","72","73","88","94","94","86","88","82","80","80","77","75","75","75"
"Sango Under Bridge","73","75","73","102","113","110","91","96","87","79","83","78","75","77","75"
"Sango Car Park","60","55","67","92","89","94","80","80","84","68","71","73","61","71","68"
"Fowobi Junction","67","70","67","93","87","87","84","84","80","76","76","76","71","72","72"
"Toll Gate Express","67","65","71","85","98","88","86","76","85","74","71","78","70","67","73"
"Toll Gate Area","70","70","73","91","103","99","86","86","92","78","77","84","73","72","76"
"Obasanjo Junction","68","70","70","92","93","91","85","90","85","76","80","79","71","72","74"
"Ota-Market Area","66","68","67","85","94","94","82","84","83","75","77","77","70","72","71"
"Ogun State Internal Revenue","58","60","64","89","81","85","77","74","75","67","67","69","60","62","65"
"Ota Local Government Sct","63","63","63","91","87","82","77","75","77","71","70","72","66","65","67"
"Jack Ross Area (Road)","57","52","59","86","84","82","76","73","79","69","66","70","62","67","64"
"Chelsea (IDL)","55","57","69","99","83","90","80","78","87","72","71","82","63","63","75"
"Iganmode Sec School A/R","67","65","65","91","90","92","83","84","90","76","76","90","72","72","74"
"All-Over Polytechnic Road","61","64","75","84","95","94","82","84","90","76","74","81","65","66","76"
"Olota Palace Junction","66","65","69","90","86","86","80","78","80","74","73","78","70","68","73"
"Ijoko Road","66","59","53","90","84","95","82","81","85","74","77","79","70","68","71"
"Ijako Tipper Garrage","60","60","60","82","88","89","73","83","78","67","70","72","62","65","67"
"Ijoko Railway Station","59","64","53","91","82","81","81","80","78","70","75","72","62","69","65"
"Ilogbo Road","61","64","63","82","90","91","76","87","86","70","79","80","66","68","74"
"Ijoko Market","57","58","58","77","80","79","75","78","78","67","73","70","61","67","62"
"Ifo Road","68","66","68","93","88","87","86","83","83","80","79","78","71","72","70"
"Owode Area","64","65","56","88","82","85","80","80","80","74","78","76","68","68","66"
"Dalemo Junction","65","64","63","82","86","84","78","82","81","72","76","76","68","68","69"
"Ilo-Awela Road","60","62","66","84","83","84","74","81","82","68","73","77","63","66","71"
"Indomie","71","73","68","94","97","99","87","91","94","80","83","81","75","76","73"
"Tower Aluminum Company","51","50","48","79","72","71","75","71","68","59","64","59","55","55","53"
"Kolokote Area","55","51","52","87","73","74","81","61","70","62","59","63","56","54","56"
"Owode Area","64","69","64","92","91","90","89","86","88","78","80","79","73","75","73"
"Idiroko Road (Chelsea Area)","61","67","65","92","89","87","86","87","83","78","81","77","70","74","70"
"Bells University Drive","49","52","50","84","76","80","76","73","76","63","67","69","54","58","56"
"Estate","55","68","65","96","93","97","90","88","90","78","79","78","70","74","69"
"Sifor Area","60","118","85","79.29","99.55","85.74","73.29","79.55","72.74","71","75","70","66","68","63"
"Bells University Junction","71","99","74","81.65","92.35","88.33","73.65","77.35","80.33","73","74","75","69","69","72"
"Canaan Land","89","115","81","90.65","106.09","86.06","77.65","87.09","75.06","72","75","72","67","69","67"
"May And Baker Close","56","59","67","62.68","64.42","65.14","52.68","53.42","51.14","48","49","45","46","45","41"
"High Court Area","82","76","80","88.52","85.82","86.71","78.52","76.82","76.71","77","75","76","72","70","70"
"Nestle Area","74","78","83","85.36","85.32","91.95","77.36","75.32","80.95","75","74","74","72","68","69"
"Iyana-Iyesi Market","77","72","64","81.83","78.93","83.63","70.83","68.93","79.63","66","67","79","63","62","78"
"Iyana-Iyesi Junction","87","89","88","92.44","90.18","91.89","81.44","78.18","80.89","78","75","78","73","71","74"
"Oju-Ore Junction","99","91","80","102.18","93.8","88.59","89.18","81.8","79.59","81","76","78","77","73","74"
"Joju Junction","82","79","79","87.79","85.2","85.13","76.79","75.2","75.13","74","73","73","68","69","69"
"Joju Express Road","89","97","73","93.16","96.62","87.73","82.16","83.62","80.73","80","80","77","75","75","75"
"Sango Under Bridge","109","123","93","103.92","115.57","105.36","87.92","96.57","93.36","79","83","78","75","77","75"
